city_name,growth_2000_2013,lat,lng,pop,rank_size,state
New York,4.8%,40.7127837,-74.0059413,8405837,1,New York
Los Angeles,4.8%,34.0522342,-118.2436849,3884307,2,California
Chicago,-6.1%,41.8781136,-87.6297982,2718782,3,Illinois
Houston,11.0%,29.7604267,-95.3698028,2195914,4,Texas
Philadelphia,2.6%,39.9525839,-75.1652215,1553165,5,Pennsylvania
Phoenix,14.0%,33.4483771,-112.0740373,1513367,6,Arizona
San Antonio,21.0%,29.4241219,-98.49362819999999,1409019,7,Texas
San Diego,10.5%,32.715738,-117.1610838,1355896,8,California
Dallas,5.6%,32.7766642,-96.79698789999999,1257676,9,Texas
San Jose,10.5%,37.3382082,-121.8863286,998537,10,California
Austin,31.7%,30.267153,-97.7430608,885400,11,Texas
Indianapolis,7.8%,39.768403,-86.158068,843393,12,Indiana
Jacksonville,14.3%,30.3321838,-81.65565099999999,842583,13,Florida
San Francisco,7.7%,37.7749295,-122.4194155,837442,14,California
Columbus,14.8%,39.9611755,-82.99879419999999,822553,15,Ohio
Charlotte,39.1%,35.2270869,-80.8431267,792862,16,North Carolina
Fort Worth,45.1%,32.7554883,-97.3307658,792727,17,Texas
Detroit,-27.1%,42.331427,-83.0457538,688701,18,Michigan
El Paso,19.4%,31.7775757,-106.4424559,674433,19,Texas
Memphis,-5.3%,35.1495343,-90.0489801,653450,20,Tennessee
Seattle,15.6%,47.6062095,-122.3320708,652405,21,Washington
Denver,16.7%,39.7392358,-104.990251,649495,22,Colorado
Washington,13.0%,38.9071923,-77.0368707,646449,23,District of Columbia
Boston,9.4%,42.3600825,-71.0588801,645966,24,Massachusetts
Nashville-Davidson,16.2%,36.1626638,-86.7816016,634464,25,Tennessee
Baltimore,-4.0%,39.2903848,-76.6121893,622104,26,Maryland
Oklahoma City,20.2%,35.4675602,-97.5164276,610613,27,Oklahoma
Louisville/Jefferson County,10.0%,38.2526647,-85.7584557,609893,28,Kentucky
Portland,15.0%,45.5230622,-122.6764816,609456,29,Oregon
Las Vegas,24.5%,36.1699412,-115.1398296,603488,30,Nevada
Milwaukee,0.3%,43.0389025,-87.9064736,599164,31,Wisconsin
Albuquerque,23.5%,35.0853336,-106.6055534,556495,32,New Mexico
Tucson,7.5%,32.2217429,-110.926479,526116,33,Arizona
Fresno,18.3%,36.7468422,-119.7725868,509924,34,California
Sacramento,17.2%,38.5815719,-121.4943996,479686,35,California
Long Beach,1.5%,33.7700504,-118.1937395,469428,36,California
Kansas City,5.5%,39.0997265,-94.5785667,467007,37,Missouri
Mesa,13.5%,33.4151843,-111.8314724,457587,38,Arizona
Virginia Beach,5.1%,36.8529263,-75.97798499999999,448479,39,Virginia
Atlanta,6.2%,33.7489954,-84.3879824,447841,40,Georgia
Colorado Springs,21.4%,38.8338816,-104.8213634,439886,41,Colorado
Omaha,5.9%,41.2523634,-95.99798829999999,434353,42,Nebraska
Raleigh,48.7%,35.7795897,-78.6381787,431746,43,North Carolina
Miami,14.9%,25.7616798,-80.1917902,417650,44,Florida
Oakland,1.3%,37.8043637,-122.2711137,406253,45,California
Minneapolis,4.5%,44.977753,-93.2650108,400070,46,Minnesota
Tulsa,1.3%,36.1539816,-95.99277500000001,398121,47,Oklahoma
Cleveland,-18.1%,41.49932,-81.6943605,390113,48,Ohio
Wichita,9.7%,37.688889,-97.336111,386552,49,Kansas
Arlington,13.3%,32.735687,-97.10806559999999,379577,50,Texas
New Orleans,-21.6%,29.95106579999999,-90.0715323,378715,51,Louisiana
Bakersfield,48.4%,35.3732921,-119.0187125,363630,52,California
Tampa,16.0%,27.950575,-82.4571776,352957,53,Florida
Honolulu,-6.2%,21.3069444,-157.8583333,347884,54,Hawaii
Aurora,24.4%,39.7294319,-104.8319195,345803,55,Colorado
Anaheim,4.7%,33.8352932,-117.9145036,345012,56,California
Santa Ana,-1.2%,33.7455731,-117.8678338,334227,57,California
St. Louis,-8.2%,38.6270025,-90.19940419999999,318416,58,Missouri
Riverside,22.5%,33.9533487,-117.3961564,316619,59,California
Corpus Christi,14.1%,27.8005828,-97.39638099999999,316381,60,Texas
Lexington-Fayette,18.0%,38.0405837,-84.5037164,308428,61,Kentucky
Pittsburgh,-8.3%,40.44062479999999,-79.9958864,305841,62,Pennsylvania
Anchorage,15.4%,61.2180556,-149.9002778,300950,63,Alaska
Stockton,21.8%,37.9577016,-121.2907796,298118,64,California
Cincinnati,-10.1%,39.1031182,-84.5120196,297517,65,Ohio
St. Paul,2.8%,44.9537029,-93.0899578,294873,66,Minnesota
Toledo,-10.0%,41.6639383,-83.55521200000001,282313,67,Ohio
Greensboro,22.3%,36.0726354,-79.7919754,279639,68,North Carolina
Newark,2.1%,40.735657,-74.1723667,278427,69,New Jersey
Plano,22.4%,33.0198431,-96.6988856,274409,70,Texas
Henderson,51.0%,36.0395247,-114.9817213,270811,71,Nevada
Lincoln,18.0%,40.8257625,-96.6851982,268738,72,Nebraska
Buffalo,-11.3%,42.88644679999999,-78.8783689,258959,73,New York
Jersey City,7.2%,40.72815749999999,-74.0776417,257342,74,New Jersey
Chula Vista,46.2%,32.6400541,-117.0841955,256780,75,California
Fort Wayne,1.0%,41.079273,-85.1393513,256496,76,Indiana
Orlando,31.2%,28.5383355,-81.3792365,255483,77,Florida
St. Petersburg,0.3%,27.773056,-82.64,249688,78,Florida
Chandler,38.7%,33.3061605,-111.8412502,249146,79,Arizona
Laredo,38.2%,27.5305671,-99.48032409999999,248142,80,Texas
Norfolk,5.0%,36.8507689,-76.28587259999999,246139,81,Virginia
Durham,29.9%,35.9940329,-78.898619,245475,82,North Carolina
Madison,15.8%,43.0730517,-89.4012302,243344,83,Wisconsin
Lubbock,19.6%,33.5778631,-101.8551665,239538,84,Texas
Irvine,61.3%,33.6839473,-117.7946942,236716,85,California
Winston-Salem,16.9%,36.09985959999999,-80.244216,236441,86,North Carolina
Glendale,5.7%,33.5386523,-112.1859866,234632,87,Arizona
Garland,8.5%,32.912624,-96.63888329999999,234566,88,Texas
Hialeah,3.2%,25.8575963,-80.2781057,233394,89,Florida
Reno,26.8%,39.5296329,-119.8138027,233294,90,Nevada
Chesapeake,15.1%,36.7682088,-76.2874927,230571,91,Virginia
Gilbert,96.0%,33.3528264,-111.789027,229972,92,Arizona
Baton Rouge,0.4%,30.4582829,-91.1403196,229426,93,Louisiana
Irving,19.1%,32.8140177,-96.9488945,228653,94,Texas
Scottsdale,11.0%,33.4941704,-111.9260519,226918,95,Arizona
North Las Vegas,92.2%,36.1988592,-115.1175013,226877,96,Nevada
Fremont,10.0%,37.5482697,-121.9885719,224922,97,California
Boise City,9.5%,43.6187102,-116.2146068,214237,98,Idaho
Richmond,8.2%,37.5407246,-77.4360481,214114,99,Virginia
San Bernardino,13.0%,34.1083449,-117.2897652,213708,100,California
